turkid,avg_learning_time,total_learning_time,name_manipulated,is_manipulated,name,sd_manipulated,value_id,value
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,17,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,18,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,19,25
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,20,27
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,21,27
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,22,27
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,23,27
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,24,27
A15PKVR5G5R4FF,1.218705882352941,63.37270588235294,Pillow,True,Pillow,Low,25,27
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,0,21
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,1,21
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,2,23
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,3,23
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,4,23
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,5,25
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,6,25
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,7,25
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,8,25
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,9,25
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,10,25
AXRO1X16SJHLN,1.3862745098039213,72.08627450980391,Pillow,True,Pillow,Low,11,27
