turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_1Hhk8q5TI6Qe2Es,Florida,Equal dispersion,480.0,400.0,0,1,340,Yes
R_1H17TqiWYltEav4,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_sdurpOd31dUPFw5,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_vJo4cBWD5hS6MIV,Florida,Higher dispersion,640.0,260.0,0,3,260,No
R_3CK2SDiZ8x4CnCq,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_1QgTZtRpKXaN95p,Florida,Equal dispersion,400.0,250.0,0,1,340,No
R_cAr7vPVEIhmPNx7,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_3kGIJjsBoWjIuIb,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_24vFwUa5Ntz7XcS,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_9mCeiY2FXlgKtnX,Florida,Higher dispersion,700.0,240.0,0,3,260,No
R_pcHgqwi6lfOkhON,Florida,Equal dispersion,600.0,250.0,0,3,260,No
R_3imQYGqYjy8W4jn,Florida,Higher dispersion,600.0,240.0,0,1,340,No
R_2qpBGoBR5rm2HS5,Florida,Equal dispersion,570.0,240.0,0,1,340,No
R_22JmY4v9g7Xm11f,Colorado,Equal dispersion,0.0,260.0,0,6,320,No
R_27d1Rpv8OBVuHPV,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_1IG9k56QFPwagrH,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_3JaewF08ovfw9IS,Florida,Equal dispersion,60.0,20.0,1,1,340,No
R_27UPIypVbgFKhpu,Florida,Equal dispersion,640.0,280.0,0,6,320,No
R_2frMpOZqkjJ5QNk,Florida,Equal dispersion,600.0,240.0,0,6,320,No
R_3MrqZkbnnlRzdot,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_129DdeXOtY0k91A,Colorado,Higher dispersion,0.0,320.0,0,6,320,No
R_2f9aALgNKNqNY40,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_rf27kMqKRaQXYFH,Colorado,Higher dispersion,0.0,220.0,1,3,260,No
R_22SlbLiSrvwVuO3,Florida,Equal dispersion,680.0,280.0,0,2,320,No
R_8nXxGByl6r0HBU5,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1QGyaos61xGKwpY,Florida,Higher dispersion,680.0,380.0,0,1,340,Yes
R_1r8pEAp42aKFoxC,Florida,Higher dispersion,480.0,240.0,0,1,340,No
R_1lfMPR1XfSy9e7q,Colorado,Higher dispersion,0.0,240.0,0,6,320,No
R_TkhYEaQ0lxBLJ7j,Florida,Higher dispersion,640.0,220.0,1,3,260,No
R_1JRVy7LYmzpXBbB,Colorado,Higher dispersion,0.0,280.0,0,2,320,No
R_1BRiVUUTh44ZEzC,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_af7aVzq4jw6ZK6d,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_2CrW9Pqx9DOPjyq,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_24oSG9fdclz9del,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_21v3eKkQmmmXHRm,Florida,Higher dispersion,500.0,180.0,1,3,260,No
R_2WZqsVigq6rSnhP,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_3pfliiManyBWGkm,Colorado,Higher dispersion,0.0,180.0,1,6,320,No
R_2zeANMR1JA2R48w,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2TvMZCbuFp9fJ5G,Florida,Higher dispersion,720.0,200.0,1,6,320,No
R_POIkR4njwbNHkSR,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_1DIOVArdusXzACl,Colorado,Higher dispersion,0.0,240.0,0,2,320,No
R_2OTiHJgmqDw40uc,Florida,Equal dispersion,620.0,240.0,0,3,260,No
R_265aN9RZDlm3Axw,Florida,Equal dispersion,640.0,260.0,0,3,260,No
