startdate,enddate,bonusamount,workerid,box_opened,bonusamountnumeric,memory_max,memory_max_recoded,condition,label_category,excluded,excluded_if_recoded
16/07/2019 21:55,16/07/2019 21:57,38¢,A9TF4XPMOLGMT,2,38.0,0.38,38.0,Equal dispersion,Red,Yes,No
16/07/2019 21:55,16/07/2019 21:57,20¢,A15U5CR20FITC6,4,20.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:55,16/07/2019 21:57,38¢,A2V8IQ87DYKZCD,2,38.0,42.0,42.0,Equal dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:57,30¢,AEPITKAWZ6FCT,1,30.0,36.0,36.0,Equal dispersion,Red,No,No
16/07/2019 21:53,16/07/2019 21:58,38¢,A2Q8SSOT8VLBDT,2,38.0,42.0,42.0,Higher dispersion,Red,No,No
16/07/2019 21:55,16/07/2019 21:58,32¢,A2JZGGMZZ0EGPP,5,32.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:58,32¢,A2IM6CK6RJEEG4,5,32.0,44.0,44.0,Higher dispersion,Blue,No,No
16/07/2019 21:55,16/07/2019 21:58,38¢,A3SH7B3UK915FC,2,38.0,48.0,48.0,Higher dispersion,Red,No,No
16/07/2019 21:56,16/07/2019 21:58,38¢,A1RFZDD1LMS3IQ,2,38.0,0.38,38.0,Equal dispersion,Red,Yes,No
16/07/2019 21:56,16/07/2019 21:58,38¢,A191BHA31OR5OB,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:54,16/07/2019 21:59,32¢,A21Q9QSL5RFDGP,5,32.0,0.4,40.0,Equal dispersion,Red,Yes,No
16/07/2019 21:55,16/07/2019 21:59,32¢,A1ZVCHY6HYVHGA,5,32.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 21:55,16/07/2019 21:59,38¢,A16M8QAZBLK2OW,2,38.0,44.0,44.0,Higher dispersion,Red,No,No
16/07/2019 21:56,16/07/2019 21:59,30¢,AI8N40NE75WUV,1,30.0,36.0,36.0,Equal dispersion,Blue,No,No
16/07/2019 21:56,16/07/2019 21:59,30¢,A260G94T3ACFUC,1,30.0,48.0,48.0,Higher dispersion,Red,No,No
