turkid,label_category,condition,memory_avg,memory_min,below_true_min,picklikelihood_1,picklikelihood_2,picklikelihood_3,picklikelihood_4,picklikelihood_5
R_3rIkubcCu1R9fHw,Florida,Higher dispersion,300.0,240.0,0,1.0,2.0,2.0,3.0,3.0
R_3h3I57oaCPlicwR,Colorado,Higher dispersion,340.0,260.0,0,-1.0,2.0,3.0,3.0,3.0
R_aYj59soIbEC0Y1j,Florida,Higher dispersion,340.0,300.0,0,1.0,2.0,3.0,3.0,3.0
R_YYXUIcHzkhUA6Hv,Colorado,Higher dispersion,480.0,160.0,1,1.0,-1.0,-1.0,1.0,2.0
R_1M5HGmx1IGVq4GZ,Colorado,Higher dispersion,360.0,320.0,0,-2.0,1.0,2.0,0.0,2.0
R_31mzXds772ZIpU4,Colorado,Equal dispersion,320.0,260.0,0,1.0,2.0,3.0,3.0,3.0
R_3g11Jg7eHx1mRvP,Colorado,Higher dispersion,380.0,180.0,1,1.0,2.0,2.0,3.0,3.0
R_3MGOKnmzzZQ3o4n,Florida,Equal dispersion,320.0,240.0,0,-1.0,-1.0,3.0,3.0,3.0
R_3lWeanRjfnj4FHZ,Florida,Equal dispersion,340.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_6zlZ2ehRd8ZUyVX,Florida,Equal dispersion,360.0,240.0,0,-1.0,-1.0,3.0,3.0,3.0
R_PzV87knwUW5fOVP,Colorado,Higher dispersion,320.0,180.0,1,1.0,1.0,0.0,1.0,1.0
R_324UjzrS2kcIiKF,Colorado,Equal dispersion,340.0,300.0,0,3.0,3.0,3.0,3.0,3.0
R_tXv5jV3Fa6aRgc1,Florida,Equal dispersion,280.0,240.0,0,-2.0,-2.0,-2.0,-2.0,-2.0
R_1NlfgILamj3aXFa,Florida,Equal dispersion,340.0,260.0,0,-1.0,1.0,2.0,3.0,3.0
R_eEhgq7Ty7WuKMUx,Florida,Equal dispersion,300.0,240.0,0,-1.0,1.0,3.0,3.0,3.0
R_3GrMDyZDX1iMb5t,Colorado,Equal dispersion,320.0,280.0,0,2.0,1.0,1.0,3.0,3.0
R_3EnYeRuVcPxr53W,Florida,Higher dispersion,400.0,260.0,0,3.0,3.0,3.0,3.0,2.0
R_306nXniBXErfnnI,Florida,Higher dispersion,380.0,250.0,0,3.0,3.0,3.0,3.0,3.0
R_2sXxJLJHUqrzDs3,Florida,Higher dispersion,300.0,160.0,1,-3.0,-3.0,-3.0,-3.0,-3.0
R_3G9D3sWpQsKiDqf,Colorado,Higher dispersion,340.0,280.0,0,1.0,2.0,3.0,3.0,3.0
R_1gqfgfT9arMvMkg,Florida,Higher dispersion,280.0,200.0,1,-1.0,-2.0,-2.0,-1.0,-1.0
R_SAD63vZ6ihuhQMV,Florida,Higher dispersion,320.0,140.0,1,2.0,1.0,1.0,2.0,2.0
R_ymEaAp8uVsAJN8l,Colorado,Higher dispersion,200.0,140.0,1,-1.0,-1.0,-1.0,-1.0,0.0
R_3hyZHXw46BDAVPQ,Florida,Higher dispersion,340.0,160.0,1,-1.0,-1.0,-1.0,-1.0,-1.0
R_11cn0noaQ24WbNK,Florida,Equal dispersion,320.0,320.0,0,1.0,0.0,2.0,1.0,0.0
R_YWXSF4uWjsTKAPT,Florida,Higher dispersion,380.0,280.0,0,2.0,2.0,3.0,3.0,3.0
R_2rwJFCsgg17k2wy,Florida,Higher dispersion,300.0,260.0,0,0.0,1.0,2.0,3.0,3.0
R_1jJLUhjfXOQ9qJP,Colorado,Equal dispersion,340.0,240.0,0,-1.0,-1.0,3.0,3.0,3.0
R_3jdsCEPpAsW7U7I,Florida,Higher dispersion,300.0,240.0,0,2.0,2.0,3.0,3.0,3.0
R_2R50CHNuAgwJSvA,Florida,Equal dispersion,280.0,240.0,0,1.0,2.0,2.0,2.0,3.0
R_By6WGN8AE2j0kxz,Florida,Higher dispersion,320.0,240.0,0,1.0,1.0,2.0,2.0,3.0
R_2aRHrD3Hfd11qB7,Florida,Higher dispersion,280.0,200.0,1,-1.0,-1.0,-1.0,-1.0,0.0
R_1dz977VhkNMdm8E,Colorado,Equal dispersion,310.0,260.0,0,1.0,3.0,3.0,3.0,3.0
R_1hGvws97lDG0LXc,Colorado,Equal dispersion,320.0,240.0,0,1.0,1.0,2.0,3.0,3.0
R_3EYF262FrODlOT2,Florida,Equal dispersion,300.0,240.0,0,-1.0,3.0,3.0,3.0,3.0
R_33dNWwqx4gW1LjI,Florida,Higher dispersion,200.0,150.0,1,-1.0,-1.0,-1.0,-1.0,-1.0
R_RK0QmcZy30WimKl,Colorado,Higher dispersion,280.0,220.0,1,-1.0,-1.0,-1.0,-1.0,0.0
R_2AFOdaC8BdUC59S,Florida,Equal dispersion,300.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_Z9mkQwwCAdiqSEF,Colorado,Equal dispersion,310.0,220.0,1,2.0,2.0,3.0,3.0,3.0
R_TdxI7X4YRC4dyDf,Colorado,Equal dispersion,340.0,260.0,0,-1.0,2.0,3.0,3.0,3.0
R_2YSuaPvGnXf9tG2,Colorado,Equal dispersion,320.0,280.0,0,3.0,1.0,3.0,3.0,3.0
R_3k1badGQQNPipWS,Florida,Equal dispersion,335.0,240.0,0,-1.0,0.0,3.0,3.0,3.0
R_2dZ7yQTBVJ9QDOR,Florida,Higher dispersion,300.0,140.0,1,2.0,1.0,2.0,2.0,3.0
R_21b61tF9JR43Zc2,Colorado,Equal dispersion,330.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_PRtIdZ8Yg1QydgZ,Colorado,Higher dispersion,350.0,240.0,0,-1.0,-1.0,-1.0,-1.0,0.0
R_2bHQxnJWBI2bGHN,Florida,Equal dispersion,300.0,240.0,0,1.0,0.0,1.0,3.0,3.0
R_1PRi4daXXkjIdue,Colorado,Higher dispersion,300.0,160.0,1,1.0,1.0,1.0,2.0,3.0
R_2YEMzWCyGLvHpWI,Florida,Equal dispersion,320.0,260.0,0,-1.0,3.0,3.0,3.0,3.0
R_21tQxWyYifdgvQP,Colorado,Higher dispersion,260.0,180.0,1,1.0,2.0,2.0,3.0,3.0
R_2rMzGx9Kyq8NS2T,Colorado,Higher dispersion,320.0,260.0,0,1.0,1.0,1.0,2.0,3.0
R_232dECEtiFJxHas,Florida,Equal dispersion,300.0,260.0,0,-1.0,1.0,1.0,1.0,1.0
R_2aLhnN8HuCEtuOS,Florida,Higher dispersion,300.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_el22NICZPpd0yc1,Florida,Higher dispersion,300.0,180.0,1,-2.0,-2.0,-1.0,0.0,0.0
R_1jCFduJV1DdxKFq,Florida,Higher dispersion,300.0,180.0,1,-2.0,-2.0,-1.0,-1.0,0.0
R_CZHIewLHfdXBQTn,Colorado,Equal dispersion,340.0,300.0,0,1.0,3.0,2.0,2.0,3.0
R_3n89IV94hNwm4G7,Colorado,Higher dispersion,340.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_3PBwpuXzBw7yjAr,Florida,Equal dispersion,300.0,240.0,0,2.0,2.0,3.0,3.0,3.0
R_BtgYcrM2JPwDJx7,Florida,Equal dispersion,280.0,200.0,1,0.0,1.0,1.0,3.0,3.0
R_0SR3XsUPD3ycFWh,Florida,Equal dispersion,320.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_yvv3bDrOZzHCx69,Florida,Equal dispersion,320.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_2dgOBq4qtstscXl,Florida,Higher dispersion,320.0,180.0,1,1.0,2.0,1.0,-1.0,0.0
R_Od700bsBkuBl1sJ,Colorado,Equal dispersion,320.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_sF0AJVprvYkmT4Z,Colorado,Higher dispersion,250.0,140.0,1,-2.0,-2.0,-2.0,-1.0,1.0
R_3MQfdZJ21cMHDDb,Colorado,Equal dispersion,310.0,260.0,0,1.0,1.0,2.0,3.0,3.0
R_1CDOpZMCjFGsksh,Colorado,Higher dispersion,300.0,180.0,1,1.0,1.0,1.0,2.0,3.0
R_29sLEjBR4nYOPby,Colorado,Higher dispersion,250.0,120.0,1,-1.0,-2.0,-2.0,-1.0,0.0
R_2Uf1MpGY3MgFh87,Colorado,Equal dispersion,320.0,240.0,0,-3.0,1.0,2.0,2.0,2.0
R_3hGW3SYYFAAozXx,Florida,Equal dispersion,320.0,240.0,0,1.0,2.0,2.0,3.0,3.0
R_2tyrHqxysuGq8I4,Florida,Equal dispersion,320.0,240.0,0,-3.0,-1.0,3.0,3.0,3.0
R_30eIKHq4wI4B3Ct,Colorado,Equal dispersion,300.0,240.0,0,-3.0,1.0,3.0,3.0,3.0
R_s5QbtRV2H29XyzD,Florida,Equal dispersion,290.0,260.0,0,1.0,3.0,3.0,3.0,3.0
R_uewr7uKuChlDB1n,Florida,Equal dispersion,300.0,240.0,0,1.0,2.0,2.0,3.0,3.0
R_2DP2VK0YbfCLc5h,Florida,Higher dispersion,300.0,140.0,1,-2.0,-3.0,-3.0,-3.0,-3.0
R_2t6dEsmprhDLdtL,Colorado,Equal dispersion,360.0,280.0,0,2.0,2.0,3.0,2.0,3.0
R_1r39bBMXWNBq9AR,Colorado,Higher dispersion,350.0,180.0,1,1.0,1.0,1.0,1.0,1.0
R_3s7wysMvmN67Ibf,Colorado,Higher dispersion,360.0,200.0,1,-1.0,1.0,2.0,3.0,3.0
R_25QLUqr4AOxd2Wm,Florida,Equal dispersion,340.0,240.0,0,2.0,2.0,3.0,3.0,3.0
R_3M6jOMQCZ8XDrIo,Colorado,Higher dispersion,340.0,220.0,1,3.0,0.0,1.0,3.0,3.0
R_1NeqbRSyxbNza6u,Colorado,Equal dispersion,300.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_2OO9jt5Sow0B5ps,Colorado,Equal dispersion,320.0,200.0,1,0.0,1.0,2.0,3.0,3.0
R_25GWTgQHVW6CfMu,Colorado,Equal dispersion,380.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_3pnXmAz9Q28QCka,Colorado,Higher dispersion,300.0,220.0,1,-1.0,-1.0,-1.0,0.0,1.0
R_3MgpvcwjCAWwhmI,Florida,Higher dispersion,300.0,200.0,1,1.0,1.0,1.0,1.0,3.0
R_215vE4q4QKVByFp,Colorado,Higher dispersion,260.0,200.0,1,-1.0,-1.0,-1.0,-1.0,2.0
